Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,28.55,28.96,30.43,32.73,34.31,36.29,38.57,43.69,47.78,49.91,52.99,53.39,54.04,55.79,57.08,57.87,58.91,60.00
Angola,7.96,8.17,8.54,9.41,10.41,11.50,12.58,13.75,14.99,16.39,16.83,16.46,17.48,19.04,18.88,20.07,20.20,20.65
Benin,8.77,8.82,8.68,8.92,9.53,10.32,11.31,12.29,13.72,14.68,15.59,15.78,16.02,16.23,16.07,16.53,16.75,17.40
Botswana,28.45,28.58,28.21,28.98,29.75,30.61,31.89,32.59,33.50,34.76,35.64,35.63,36.61,36.79,36.96,37.50,37.90,39.02
Burkina Faso,12.00,12.44,11.26,11.64,12.07,12.72,13.56,14.25,15.33,15.67,16.38,16.52,16.97,17.05,17.51,18.52,19.41,20.34
Burundi,14.21,14.35,13.87,13.94,13.97,14.02,14.15,14.38,14.57,14.53,14.60,14.63,14.70,15.11,15.22,15.93,16.21,16.79
Cabo Verde,26.35,26.81,27.82,28.59,32.24,33.06,37.45,40.45,44.11,46.20,48.96,49.43,50.43,47.96,47.96,48.88,49.07,49.80
Cameroon,12.48,12.86,13.51,13.77,14.35,15.02,15.74,16.58,16.79,18.20,18.98,19.03,19.29,19.81,20.35,20.69,21.04,21.85
Central African Republic,7.76,8.00,8.33,8.49,8.87,9.06,9.59,10.19,10.52,11.20,11.72,11.87,11.83,11.95,11.94,12.27,12.48,12.87
Chad,3.02,3.21,3.25,3.63,3.93,4.18,4.78,5.28,5.46,6.05,6.76,6.64,6.81,7.24,7.52,7.84,7.99,8.49
Comoros,18.49,18.64,19.05,19.57,19.82,20.02,20.26,20.47,20.95,21.64,22.03,22.12,22.15,23.50,23.62,24.13,24.40,25.09
"Congo, Rep.",9.15,9.15,9.07,9.32,9.85,10.19,10.82,11.29,13.12,13.39,14.17,14.47,14.95,17.53,17.69,18.12,18.32,18.86
