Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,14.54,15.37,15.70,17.01,17.41,18.10,19.17,20.13,19.80,23.29,25.37,26.24,27.60,28.83,29.15,29.80,31.34,32.15
Angola,1.64,1.78,1.94,2.22,2.39,2.51,2.97,3.04,3.84,3.84,3.93,5.10,5.82,5.79,5.94,5.89,5.85,5.81
Benin,.29,.30,.33,.44,.61,.75,.39,.20,.22,.22,.22,.23,.34,.48,.49,.46,.44,.43
Botswana,8.18,1.03,9.31,8.95,9.41,5.81,5.02,3.74,3.55,5.73,18.41,15.43,18.52,23.29,20.70,20.56,20.36,20.20
Burkina Faso,.46,.53,.55,.55,.61,.66,.65,.72,.55,.58,.43,.66,.69,1.61,1.65,1.70,2.00,2.08
Burundi,.26,.19,.16,.16,.15,.19,.18,.19,.41,.23,.28,.27,.26,.25,.25,.24,.34,.34
Cabo Verde,6.38,6.88,7.47,7.94,8.33,8.83,9.31,10.61,9.66,9.54,9.75,9.62,11.18,11.36,11.49,15.18,15.36,15.56
Cameroon,3.47,2.09,3.92,3.84,4.52,4.68,4.87,4.82,4.78,4.54,4.70,4.61,4.52,5.68,5.83,5.83,5.84,5.85
Central African Republic,.47,.46,.48,.50,.51,.49,.44,.47,.47,.46,.47,.48,.49,.50,.50,.50,.50,.50
Chad,.11,.10,.10,.11,.11,.10,.09,.08,.08,.22,.25,.28,.29,.29,.28,.28,.27,.27
Comoros,.85,1.06,1.31,1.39,1.14,1.30,.91,.86,.84,1.36,1.37,1.41,1.37,1.38,1.42,1.46,1.48,1.52
"Congo, Rep.",1.95,1.91,1.85,1.96,2.00,1.74,2.05,2.15,3.06,4.96,5.02,5.41,6.07,5.90,5.81,5.91,6.03,6.15
"Congo, Dem. Rep.",1.93,1.88,2.10,2.12,2.09,2.11,1.96,1.97,1.92,1.86,1.82,1.87,1.94,1.90,1.83,1.96,2.04,2.12
Cote d'Ivoire,5.08,4.77,5.16,5.21,5.07,4.94,4.98,4.89,4.73,4.73,5.32,5.67,5.99,6.13,7.00,6.73,7.37,7.52
Djibouti,4.14,4.07,4.31,5.06,5.47,5.62,6.43,6.43,6.53,6.48,6.49,6.52,6.53,6.59,6.64,10.01,10.13,10.26
Egypt,20.29,20.41,21.35,23.95,24.99,26.62,26.15,28.52,29.53,28.89,30.25,29.57,31.62,33.54,34.26,33.95,33.66,33.40
Equatorial Guinea,1.49,1.79,1.81,1.84,1.86,1.85,1.77,1.68,7.19,6.87,6.58,6.36,7.05,7.08,6.99,6.11,5.96,5.83
Eritrea,1.68,1.72,1.68,1.65,1.48,1.55,1.51,1.52,1.58,1.70,1.93,1.81,1.93,1.97,2.02,2.07,2.11,2.15
Ethiopia,.44,.48,.52,.58,.65,.67,.71,.68,.63,.89,1.12,1.32,1.56,1.67,1.75,1.77,1.81,1.85
Gabon,16.48,16.71,16.59,16.56,17.24,17.48,18.19,17.74,18.13,18.39,18.50,20.75,28.45,28.87,25.63,25.76,25.99,26.29
"Gambia, The",1.63,1.76,1.88,2.01,1.65,2.18,2.14,1.43,1.85,1.79,2.03,1.97,2.50,2.47,2.44,2.42,2.40,2.38
Ghana,5.94,4.67,4.68,4.91,6.23,5.01,5.84,6.13,6.74,7.30,7.66,8.01,7.89,6.83,7.57,7.74,8.18,8.36
