Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,.01,.02,.02,.11,.17,.40,7.57,10.60,11.88,13.78,16.17,18.34,23.22,28.79,34.03,32.18,32.07,34.08
Angola,.00,.00,.00,.01,.04,.09,1.77,2.36,3.01,3.97,5.21,6.11,9.83,11.95,12.08,11.45,12.13,12.82
Benin,.00,.00,.00,.01,.03,.08,2.27,3.56,5.50,6.69,7.65,8.97,8.97,11.33,11.22,10.46,13.76,15.34
Botswana,.01,.01,.01,.06,.10,.24,5.35,6.96,9.20,12.72,15.96,20.54,24.59,25.80,28.37,24.00,28.52,31.30
Burkina Faso,.00,.00,.00,.01,.02,.05,1.18,1.62,2.74,3.84,5.18,6.24,7.31,8.75,10.36,11.08,12.27,13.93
Burundi,.00,.00,.00,.00,.01,.02,.40,.73,1.33,1.62,1.98,2.32,3.01,4.86,5.58,5.52,6.39,6.81
Cabo Verde,.01,.01,.02,.07,.12,.28,7.76,10.94,15.65,18.45,19.44,21.80,24.62,26.23,28.02,26.09,26.71,27.61
Cameroon,.00,.00,.01,.02,.04,.10,1.97,2.82,3.47,4.53,6.24,7.99,10.45,12.15,16.02,14.17,14.94,16.85
Central African Republic,.00,.00,.00,.00,.01,.02,.73,1.32,1.67,1.92,2.47,3.07,2.95,3.35,3.65,3.21,3.48,4.26
Chad,.00,.00,.00,.00,.01,.03,.82,1.28,1.74,2.46,3.06,3.31,3.91,4.31,4.98,5.23,5.95,6.88
Comoros,.00,.00,.00,.01,.02,.06,1.29,1.79,2.63,3.43,4.49,5.44,6.25,6.93,7.86,7.31,7.64,8.73
"Congo, Rep.",.00,.00,.00,.02,.04,.11,2.62,4.35,5.98,6.86,8.01,9.11,10.20,11.22,12.54,10.70,10.74,11.37
"Congo, Dem. Rep.",.00,.00,.00,.01,.01,.03,.77,.85,1.19,1.75,2.40,3.48,4.81,5.23,5.08,5.72,6.53,6.89
Cote d'Ivoire,.00,.00,.01,.02,.05,.14,2.73,3.75,4.96,5.96,7.35,9.79,13.34,19.31,22.23,21.95,21.66,23.26
Djibouti,.00,.00,.00,.01,.02,.06,1.51,2.57,3.88,4.79,6.10,7.54,9.59,11.77,14.61,18.24,18.92,18.88
Egypt,.03,.04,.05,.17,.30,.60,7.46,10.13,12.88,16.13,18.63,20.59,22.79,25.32,29.58,30.11,30.96,33.80
Equatorial Guinea,.00,.00,.00,.02,.03,.07,1.26,1.57,3.87,5.88,6.75,7.79,8.70,9.42,10.82,9.75,9.91,10.02
Eritrea,.00,.00,.00,.00,.00,.01,.28,.40,.55,.75,.96,1.16,1.42,1.68,1.94,2.29,2.37,2.52
Ethiopia,.00,.00,.00,.00,.01,.01,.22,.40,.68,1.34,2.29,3.50,5.08,7.67,9.48,7.68,8.55,9.35
Gabon,.01,.01,.02,.08,.13,.27,5.17,6.78,8.71,13.28,15.94,18.97,22.42,24.13,27.06,22.99,26.49,27.29
"Gambia, The",.00,.00,.01,.03,.07,.19,4.20,5.30,6.72,7.39,8.59,10.54,13.24,16.38,19.26,19.02,21.77,21.90
Ghana,.00,.00,.01,.02,.06,.14,2.96,4.32,5.93,7.64,9.67,11.90,15.66,19.08,22.41,21.00,23.65,26.23
Guinea,.00,.00,.00,.00,.00,.06,1.35,1.90,2.45,3.39,4.34,6.16,7.85,10.16,11.55,11.13,13.68,14.90
Guinea-Bissau,.00,.00,.00,.02,.03,.07,1.86,2.30,3.09,3.62,5.27,5.09,6.21,7.14,11.18,10.84,12.04,14.10
Kenya,.00,.00,.01,.03,.06,.13,2.67,3.73,5.03,6.61,9.49,10.83,12.98,17.20,18.99,37.13,39.87,43.42
Lesotho,.00,.00,.01,.02,.04,.10,1.95,2.46,3.73,5.63,7.82,10.36,13.97,15.20,18.89,18.65,15.87,16.88
Liberia,.00,.00,.00,.00,.01,.05,1.09,1.80,2.77,3.73,4.61,5.40,7.48,9.68,10.63,8.68,9.43,10.36
Libya,.00,.01,.01,.06,.14,.28,8.50,12.09,15.62,15.65,12.88,18.13,17.50,20.43,21.64,19.94,20.00,20.12
Madagascar,.00,.00,.00,.01,.01,.04,1.35,1.88,2.49,3.01,3.46,3.69,4.44,5.07,4.52,5.32,6.05,6.28
Malawi,.00,.00,.00,.01,.01,.03,.62,1.11,1.74,2.50,3.18,3.75,4.27,5.65,6.48,6.95,6.68,8.09
Mali,.00,.00,.00,.01,.03,.06,1.37,1.95,3.33,4.99,7.06,9.90,13.05,13.91,13.86,14.16,16.32,17.79
Mauritania,.00,.00,.01,.03,.06,.14,3.36,3.97,5.66,7.13,9.00,9.59,10.65,11.83,13.27,13.34,14.49,15.08
Mauritius,.02,.04,.05,.18,.38,.76,15.09,18.79,23.46,28.10,32.13,36.00,41.81,45.58,50.35,47.72,50.24,50.84
Morocco,.01,.02,.06,.31,.49,1.01,11.56,14.84,19.44,20.90,24.52,26.86,29.25,30.80,33.35,36.38,41.10,44.55
Mozambique,.00,.00,.00,.01,.02,.05,1.18,1.89,2.71,3.24,3.76,5.09,7.42,8.28,7.18,5.91,7.21,8.55
Namibia,.00,.01,.01,.04,.08,.17,3.37,5.44,8.59,10.55,11.57,14.85,16.01,20.00,22.59,21.19,21.07,21.38
Niger,.00,.00,.00,.00,.01,.02,.66,.98,1.47,2.08,2.49,3.31,4.19,4.72,4.67,5.91,5.02,5.27
Nigeria,.00,.00,.01,.03,.07,.16,3.66,4.77,6.16,7.67,9.27,10.15,11.63,13.28,15.19,14.03,17.43,18.76
Rwanda,.00,.00,.00,.01,.01,.04,1.35,2.73,3.71,4.42,5.66,6.82,8.31,11.23,12.61,11.49,12.84,13.26
Sao Tome and Principe,.01,.01,.02,.07,.11,.22,4.31,5.97,7.73,9.19,10.10,11.02,12.05,15.19,16.44,14.75,14.80,15.14
Senegal,.01,.01,.02,.07,.11,.22,3.79,5.00,6.39,7.82,9.49,11.39,13.64,15.18,17.18,16.46,18.29,20.21
Seychelles,.02,.03,.08,.29,.52,1.06,18.06,22.58,27.37,33.07,36.54,40.10,42.63,45.30,49.10,45.46,50.36,55.60
Sierra Leone,.00,.00,.00,.00,.00,.04,.75,.98,1.90,2.26,2.86,5.30,6.96,8.39,11.16,10.68,11.04,12.05
Somalia,.00,.00,.00,.01,.01,.03,.46,.53,.35,1.23,1.99,3.89,4.38,4.83,5.76,5.39,5.82,6.08
South Africa,.02,.03,.05,.15,.26,.46,16.96,21.36,29.42,37.08,42.38,48.45,52.67,55.84,58.90,30.81,32.82,35.32
South Sudan,,,,,,,,,.89,1.15,1.58,2.94,3.27,3.64,4.04,3.96,3.30,3.65
Sudan,.00,.00,.01,.02,.02,.16,1.48,1.85,6.58,8.58,10.22,11.07,12.03,12.71,13.82,13.05,13.48,13.23
eSwatini,.00,.00,.01,.04,.06,.14,3.55,5.17,6.81,9.92,10.48,12.57,13.86,14.42,16.75,15.76,16.07,16.53
Tanzania,.00,.00,.00,.01,.03,.07,1.66,2.49,3.34,4.38,5.08,5.48,7.13,9.40,11.27,11.39,12.69,13.86
Togo,.00,.00,.00,.02,.03,.08,1.62,2.45,3.55,4.06,5.12,5.82,6.79,8.62,10.68,10.73,11.36,12.60
Tunisia,.01,.02,.03,.13,.24,.54,12.08,17.11,20.73,23.63,24.73,25.61,29.15,29.95,33.19,32.44,36.97,38.34
Uganda,.00,.00,.00,.01,.03,.08,2.54,3.39,4.91,6.38,6.78,7.69,8.87,9.31,11.55,11.23,11.11,11.30
Zambia,.00,.00,.00,.02,.04,.11,2.18,2.98,4.45,6.43,8.24,8.96,10.08,11.55,13.71,13.42,12.00,14.27
Zimbabwe,.01,.01,.01,.03,.03,.08,1.49,3.03,5.27,6.88,10.23,12.35,12.57,15.10,16.38,15.78,15.67,16.13
