Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,16.76,16.55,17.20,17.35,17.28,17.15,18.22,18.30,19.26,19.09,18.96,18.71,18.33,18.11,17.90,17.59,19.58,19.58
Angola,2.49,2.43,2.38,2.34,2.30,2.25,2.22,2.17,2.16,2.11,2.07,2.02,1.97,1.93,1.89,4.29,4.41,4.41
Benin,7.28,7.19,5.60,5.59,5.50,5.45,5.33,5.27,5.01,4.89,4.85,4.81,4.67,4.57,5.23,5.22,5.17,5.17
Botswana,25.79,26.40,24.15,25.20,25.07,24.91,25.20,25.01,26.34,27.03,26.60,26.18,25.36,24.99,24.62,25.73,25.28,25.28
Burkina Faso,13.08,13.13,13.04,12.71,12.54,12.43,12.13,12.03,11.29,11.11,11.07,11.03,11.18,11.14,11.08,11.02,10.95,10.95
Burundi,11.62,11.65,10.03,9.91,9.77,9.69,9.45,9.38,8.78,8.67,8.61,8.55,8.63,8.69,8.64,8.67,8.61,8.61
Cabo Verde,28.43,28.29,28.08,27.83,27.63,27.48,27.23,27.10,26.56,26.68,26.57,26.25,26.21,26.04,25.89,25.66,25.51,25.51
Cameroon,4.37,4.35,4.43,4.40,3.16,3.12,3.07,3.04,2.98,3.88,3.82,3.76,2.56,2.53,2.76,2.73,2.69,2.69
Central African Republic,2.53,2.52,2.50,2.46,2.44,2.42,2.38,2.36,3.26,3.23,3.15,3.11,3.08,3.04,3.01,3.15,3.13,3.13
Chad,1.11,1.10,1.09,1.30,1.28,1.27,1.24,1.23,1.14,1.13,1.12,1.11,1.16,1.15,1.14,1.13,1.12,1.12
Comoros,17.42,17.29,17.10,16.84,16.62,16.43,16.14,16.16,15.62,15.48,15.32,15.17,15.13,14.99,14.85,14.79,14.66,14.66
"Congo, Rep.",2.62,2.57,2.25,2.22,2.69,2.64,2.62,2.57,2.58,2.49,2.48,2.44,2.39,2.35,2.31,2.20,2.16,2.16
"Congo, Dem. Rep.",1.83,1.83,1.77,1.73,1.71,1.69,1.65,1.63,1.53,1.54,1.52,1.51,1.51,1.50,1.50,1.49,1.48,1.48
Cote d'Ivoire,7.56,7.54,7.10,7.01,6.94,7.01,6.89,6.83,6.56,6.58,6.52,6.46,6.82,6.31,6.26,6.17,6.11,6.11
Djibouti,13.09,12.88,12.78,12.74,10.17,10.11,10.10,10.04,10.16,10.07,9.99,9.91,9.78,9.70,9.63,9.33,9.24,9.24
Egypt,52.62,52.73,52.44,55.15,54.91,54.49,56.51,53.93,50.75,53.72,53.40,53.08,51.59,52.56,55.37,54.92,54.54,54.54
Equatorial Guinea,20.22,19.57,19.18,18.97,18.67,18.28,18.17,17.78,18.22,17.74,17.34,16.94,16.35,15.99,15.64,15.66,15.70,15.70
Eritrea,1.74,1.70,1.67,1.65,1.62,1.60,1.59,1.57,1.57,1.54,1.52,1.50,1.48,1.46,1.44,1.96,3.34,3.34
Ethiopia,1.41,1.45,1.55,1.75,1.66,1.81,1.83,1.82,1.72,1.69,1.68,1.66,2.18,2.16,2.13,2.09,2.07,2.07
Gabon,3.89,3.80,4.19,4.20,4.17,4.75,4.77,4.71,4.89,4.79,4.71,4.63,4.07,3.96,3.87,3.78,3.70,3.70
"Gambia, The",6.69,9.39,9.27,8.99,8.87,8.77,8.60,8.51,8.16,8.15,8.05,7.96,9.75,7.80,7.80,7.64,7.56,7.56
Ghana,5.44,6.56,7.35,7.29,7.20,7.12,12.50,12.64,12.09,12.04,11.94,11.84,16.11,11.74,11.65,11.52,11.43,11.43
Guinea,5.94,6.72,6.81,6.74,6.67,6.61,6.52,6.46,6.28,5.95,5.88,5.82,4.77,4.73,4.69,4.76,4.72,4.72
Guinea-Bissau,5.47,5.61,5.56,5.53,5.49,5.43,5.40,5.34,5.39,5.13,5.05,4.97,5.35,5.27,5.19,5.31,5.23,5.23
Kenya,5.23,5.21,5.30,5.21,5.14,5.08,5.05,4.85,4.63,12.09,11.98,11.86,11.43,11.34,10.63,10.50,10.43,10.43
Lesotho,7.75,7.74,7.69,7.63,7.58,7.54,7.46,7.42,7.24,7.40,7.35,7.31,7.30,7.25,7.21,7.30,7.27,7.27
Liberia,3.48,3.47,3.44,3.38,3.32,3.26,3.18,3.12,2.98,2.96,2.93,2.90,2.90,2.87,2.94,2.92,2.89,2.89
Libya,56.04,54.96,54.45,54.35,53.92,53.24,53.25,52.67,41.92,41.79,41.91,42.08,41.81,41.79,41.58,40.39,40.01,40.01
Madagascar,3.58,3.52,3.47,3.42,3.37,3.32,3.27,3.22,3.22,3.17,3.13,3.08,3.04,3.00,2.95,2.91,2.87,2.87
Malawi,6.24,5.79,5.70,5.63,5.55,5.47,5.38,5.30,5.20,5.10,5.02,4.95,4.90,3.82,3.77,3.77,3.73,3.73
Mali,1.24,1.21,1.99,2.03,2.00,1.96,2.73,2.75,2.77,2.92,2.85,2.79,2.56,2.49,2.44,2.40,2.35,2.35
Mauritania,4.89,4.74,5.26,5.01,5.37,5.45,5.45,5.35,5.55,5.93,5.81,5.69,5.17,5.07,4.97,4.86,4.75,4.75
Mauritius,37.15,37.65,37.43,37.09,36.82,36.59,35.74,36.25,34.80,35.37,35.25,35.14,35.75,36.74,36.64,36.72,36.62,36.62
Morocco,8.87,8.86,8.80,9.33,9.32,9.31,9.36,10.23,10.46,10.52,10.42,10.32,10.03,9.94,9.86,9.72,9.64,9.64
Mozambique,2.19,2.14,2.11,2.09,2.07,2.04,2.17,2.14,2.16,2.09,2.05,2.01,1.93,2.12,2.08,2.09,2.05,2.05
Namibia,25.10,24.59,24.43,24.48,24.36,24.10,24.21,17.14,17.85,19.53,19.26,18.98,17.47,17.15,16.85,17.59,17.34,17.34
Niger,2.27,2.23,2.36,2.33,2.29,2.30,2.33,2.28,2.26,2.19,2.13,2.08,1.97,1.92,1.87,1.83,1.79,1.79
Nigeria,5.61,5.60,5.51,5.41,5.34,6.44,6.33,6.26,6.04,5.98,5.91,5.84,5.82,5.76,5.70,5.66,5.60,5.60
Rwanda,11.74,11.78,14.42,14.13,13.94,13.82,13.49,13.38,12.54,12.48,12.39,12.31,11.76,11.70,11.65,11.61,11.55,11.55
Sao Tome and Principe,16.17,16.05,15.93,15.82,15.70,15.59,15.46,15.33,15.16,14.38,14.19,14.00,14.27,14.12,13.97,13.55,13.42,13.42
Senegal,3.73,3.33,3.35,3.31,3.58,3.52,3.48,3.62,3.61,3.72,3.66,3.59,3.50,3.43,3.63,3.65,3.59,3.59
Seychelles,36.31,47.18,48.33,52.67,52.61,53.31,52.89,52.83,52.63,51.91,51.76,51.62,51.98,51.81,51.65,51.87,51.68,51.68
Sierra Leone,4.93,4.87,4.80,4.71,4.64,4.59,4.49,4.45,4.22,4.22,4.19,4.17,4.18,4.15,4.23,4.12,4.10,4.10
Somalia,2.47,2.42,2.39,2.37,2.35,2.32,2.31,2.28,2.29,2.20,2.15,2.11,2.12,2.06,2.11,1.75,1.72,1.72
South Africa,13.74,13.64,13.56,13.50,13.44,13.37,13.32,13.26,13.26,13.03,12.97,12.92,23.44,23.31,23.19,22.58,22.30,22.30
South Sudan,,,,,,,,,.11,.11,.11,.11,.11,.00,0.00,.02,.07,.07
Sudan,.62,.60,.59,.59,.58,.57,.57,.55,.57,.69,.67,.66,.63,.62,1.18,1.16,1.13,1.13
eSwatini,9.24,9.20,9.19,9.17,9.14,9.08,9.03,8.96,8.97,8.85,8.77,8.69,8.60,8.53,11.82,13.16,13.08,13.08
Tanzania,3.29,2.90,2.87,2.83,2.79,2.75,2.86,3.28,3.13,3.95,3.90,3.84,3.11,3.08,3.05,3.05,3.34,3.34
Togo,5.82,5.77,5.71,5.64,5.57,7.42,7.30,7.23,6.98,6.81,6.74,6.67,7.71,6.56,5.93,5.89,5.87,5.87
Tunisia,10.00,9.92,9.92,10.08,10.06,10.01,11.10,11.04,11.28,11.17,11.10,11.03,10.86,10.79,10.72,10.69,10.62,10.62
Uganda,10.13,10.09,9.91,9.74,9.59,9.47,9.28,9.17,8.80,8.65,8.54,8.44,6.53,6.38,6.49,6.46,6.42,6.42
Zambia,8.82,8.63,8.53,8.48,8.39,8.26,8.22,8.07,8.22,10.35,10.10,9.85,13.31,4.93,6.82,6.78,6.64,6.64
Zimbabwe,13.22,13.20,13.24,13.32,13.38,13.44,13.54,13.54,13.68,13.16,12.95,12.71,12.11,11.95,11.38,12.19,12.09,12.09
