Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,93.62,93.92,94.22,94.59,94.89,95.19,95.52,95.82,96.07,96.34,96.59,96.85,97.10,97.31,97.32,97.37,97.79,98.00
Angola,46.01,47.34,48.58,49.88,50.92,51.87,52.76,53.75,54.66,55.53,56.34,57.19,58.01,58.83,59.59,60.30,61.04,61.43
Benin,41.26,42.21,43.16,44.12,45.05,45.69,46.43,47.09,47.61,48.43,49.12,49.79,50.36,50.99,51.62,52.18,52.78,53.29
Botswana,78.64,79.39,80.20,81.00,81.73,82.63,83.67,84.57,85.46,86.44,87.17,87.92,88.56,89.26,89.83,90.43,91.02,91.60
Burkina Faso,39.74,41.11,42.53,44.00,45.41,46.66,47.88,49.10,51.00,52.51,53.92,55.19,56.56,57.78,58.99,60.33,61.51,62.79
Burundi,56.12,56.75,57.39,58.09,58.74,59.39,60.10,60.77,61.49,62.30,62.98,63.71,64.43,65.14,65.86,66.59,67.21,68.11
Cabo Verde,67.39,68.79,70.39,71.99,73.63,75.11,76.67,78.21,79.75,81.34,82.74,83.93,85.28,86.57,87.76,88.99,89.87,90.71
Cameroon,54.94,55.56,56.18,56.75,57.40,58.05,58.64,59.36,59.97,60.70,61.33,62.01,62.72,63.36,64.05,64.30,65.07,65.65
Central African Republic,41.90,41.86,41.79,41.67,41.67,41.54,41.54,41.54,41.42,41.56,41.55,41.53,41.53,41.56,41.51,41.46,41.51,41.46
Chad,23.13,23.66,24.26,24.80,25.40,26.02,26.58,27.16,27.81,28.60,29.28,29.99,30.56,31.25,31.94,32.65,33.32,34.08
Comoros,61.20,62.01,62.85,63.64,64.47,65.18,65.98,66.73,67.52,68.52,69.27,69.98,70.65,71.30,71.46,71.63,71.85,72.07
"Congo, Rep.",46.08,46.97,48.55,50.01,51.53,53.04,54.49,56.03,57.50,59.15,60.62,62.13,63.54,65.03,66.43,67.85,68.09,68.58
"Congo, Dem. Rep.",34.77,34.98,35.13,35.32,35.51,35.78,36.07,36.30,36.62,37.01,37.29,37.72,38.10,38.55,39.00,39.47,39.94,40.44
Cote d'Ivoire,57.14,57.75,58.23,58.82,59.29,59.86,60.31,60.83,61.32,61.95,62.37,62.88,63.25,63.69,64.03,64.50,65.05,65.88
Djibouti,68.85,69.04,69.28,70.14,71.04,71.86,72.80,73.62,74.47,75.45,76.26,77.07,77.82,78.56,79.35,80.11,80.25,81.81
Egypt,97.80,97.92,97.98,98.10,98.11,98.23,98.28,98.41,98.41,98.54,98.59,98.72,98.89,98.97,99.01,99.14,99.26,99.31
Equatorial Guinea,50.91,52.04,53.12,54.19,55.36,56.52,57.70,58.95,60.21,61.33,62.68,63.59,63.72,63.93,64.15,64.28,64.23,64.16
Eritrea,36.86,37.32,37.79,38.25,38.71,39.22,39.63,39.92,40.17,40.62,40.93,41.38,41.92,42.41,42.82,43.00,43.14,43.32
Ethiopia,4.87,6.99,9.13,11.31,13.51,15.73,18.11,20.41,22.85,25.41,27.93,30.38,32.76,35.22,37.70,40.14,42.59,45.07
Gabon,75.22,75.88,76.55,77.22,77.88,78.59,79.19,79.87,80.47,81.14,81.74,82.34,82.92,83.51,84.01,84.59,85.08,85.59
"Gambia, The",81.04,80.50,79.98,79.60,79.12,78.70,78.30,77.98,77.62,77.40,77.13,76.80,76.59,76.35,76.09,75.92,75.74,75.56
Ghana,62.95,64.00,65.12,66.19,67.19,68.32,69.41,70.53,71.68,72.84,73.89,74.97,76.05,77.17,78.13,79.22,80.17,81.14
Guinea,38.27,40.14,42.04,43.90,45.77,47.64,49.49,51.35,53.16,55.23,57.07,58.89,60.69,62.47,64.25,66.03,67.49,69.27
Guinea-Bissau,28.10,29.28,30.58,31.77,32.95,34.23,35.42,36.66,37.97,39.40,40.63,41.92,43.15,44.40,45.61,46.83,48.09,49.30
Kenya,43.29,44.16,45.04,45.84,46.73,47.55,48.45,49.32,50.16,51.08,51.93,52.82,53.68,54.58,55.48,56.35,57.81,58.73
Lesotho,44.49,46.39,48.28,50.07,51.96,53.68,55.47,57.17,58.84,60.72,62.32,63.88,65.47,66.96,68.42,69.95,71.49,72.89
Liberia,44.24,45.36,46.43,47.56,48.69,49.82,50.96,52.11,53.28,54.65,55.82,56.98,58.09,59.23,60.41,61.60,64.19,65.43
Libya,89.13,89.74,90.36,90.92,91.61,92.27,92.93,93.60,94.28,94.98,95.69,96.41,97.14,97.85,98.59,98.59,99.71,99.71
